"","Var_Type","n","nmiss"
"region","numeric","5000","0"
"townsize","numeric","5000","2"
"gender","numeric","5000","0"
"agecat","numeric","5000","0"
"edcat","numeric","5000","0"
"jobcat","numeric","5000","0"
"union","numeric","5000","0"
"empcat","numeric","5000","0"
"retire","numeric","5000","0"
"inccat","numeric","5000","0"
"default","numeric","5000","0"
"jobsat","numeric","5000","0"
"marital","numeric","5000","0"
"spousedcat","numeric","5000","0"
"homeown","numeric","5000","0"
"hometype","numeric","5000","0"
"addresscat","numeric","5000","0"
"carown","numeric","5000","0"
"cartype","numeric","5000","0"
"carcatvalue","numeric","5000","0"
"carbought","numeric","5000","0"
"carbuy","numeric","5000","0"
"commutecat","numeric","5000","0"
"commutecar","numeric","5000","0"
"commutemotorcycle","numeric","5000","0"
"commutecarpool","numeric","5000","0"
"commutebus","numeric","5000","0"
"commuterail","numeric","5000","0"
"commutepublic","numeric","5000","0"
"commutebike","numeric","5000","0"
"commutewalk","numeric","5000","0"
"commutenonmotor","numeric","5000","0"
"telecommute","numeric","5000","0"
"reason","numeric","5000","0"
"polview","numeric","5000","0"
"polparty","numeric","5000","0"
"polcontrib","numeric","5000","0"
"vote","numeric","5000","0"
"card","numeric","5000","0"
"cardtype","numeric","5000","0"
"cardbenefit","numeric","5000","0"
"cardfee","numeric","5000","0"
"cardtenurecat","numeric","5000","0"
"card2","numeric","5000","0"
"card2type","numeric","5000","0"
"card2benefit","numeric","5000","0"
"card2fee","numeric","5000","0"
"card2tenurecat","numeric","5000","0"
"active","numeric","5000","0"
"bfast","numeric","5000","0"
"churn","numeric","5000","0"
"tollfree","numeric","5000","0"
"equip","numeric","5000","0"
"callcard","numeric","5000","0"
"wireless","numeric","5000","0"
"multline","numeric","5000","0"
"voice","numeric","5000","0"
"pager","numeric","5000","0"
"internet","numeric","5000","0"
"callid","numeric","5000","0"
"callwait","numeric","5000","0"
"forward","numeric","5000","0"
"confer","numeric","5000","0"
"ebill","numeric","5000","0"
"owntv","numeric","5000","0"
"ownvcr","numeric","5000","0"
"owndvd","numeric","5000","0"
"owncd","numeric","5000","0"
"ownpda","numeric","5000","0"
"ownpc","numeric","5000","0"
"ownipod","numeric","5000","0"
"owngame","numeric","5000","0"
"ownfax","numeric","5000","0"
"news","numeric","5000","0"
"response_01","numeric","5000","0"
"response_02","numeric","5000","0"
"response_03","numeric","5000","0"
